zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population
46001,333,14963,5275,2787,9433
46011,592,29384,9942,5858,16392
46012,640,31495,10607,6263,18671
46013,741,29378,10256,5705,15946
46016,716,19627,7328,3287,16904
46017,188,9421,3245,1859,5411
46030,111,4531,1601,887,2881
46031,131,3175,1159,603,2460
46032,2915,127733,41508,27334,48388
46033,2261,99365,32229,21505,36742
46034,354,12588,4379,2502,6230
46035,38,1456,536,261,1128
46036,548,15836,5679,2936,11060
46037,2634,109247,36971,22976,39206
46038,2329,94940,32375,19790,40687
46039,23,789,280,140,494
46040,825,32715,11500,6562,11423
46041,885,31339,11485,5533,20706
46044,88,4225,1501,812,2989
46045,Suppressed,Suppressed,Suppressed,Suppressed,39
46047,Suppressed,Suppressed,Suppressed,Suppressed,37
46048,77,2529,941,433,1964
46049,33,1029,379,184,1057
46050,75,2205,778,431,1968
46051,111,4231,1516,807,2672
46052,1055,36072,12945,6763,21312
46055,779,31422,10812,6341,11656
46056,99,3465,1232,688,2092
46057,29,1205,427,233,1155
46058,45,3670,1233,716,2353
46060,1975,84583,29938,16370,38257
46062,1891,77919,27018,15801,32921
46063,8,392,135,84,521
46064,708,32856,11413,6544,16288
46065,89,4840,1683,881,3225
46068,112,3422,1230,651,2794
46069,385,10503,3798,2056,6673
46070,75,3021,1067,600,2187
46071,172,4391,1645,809,3001
46072,332,13560,4756,2585,8052
46074,2247,100823,34189,21066,32189
46075,431,16391,5685,3338,5817
46076,47,1758,638,307,1373
46077,2111,85483,28218,18475,27439
46103,5,359,129,64,155
46104,23,1241,434,244,875
46105,91,2336,849,447,1676
46106,397,15585,5522,3033,6283
46107,592,20182,7111,3794,12301
46110,15,745,268,145,562
46111,12,387,142,64,189
46112,2422,82010,28836,16243,35534
46113,813,22633,8420,4002,14667
46115,83,2513,896,469,1846
46117,20,912,314,179,772
46118,196,6815,2458,1282,4833
46120,433,7001,2674,1273,5083
46121,230,7321,2649,1361,5131
46122,749,27145,9720,5071,15305
46123,2115,81147,28551,15792,34504
46124,219,10703,3910,1879,8526
46125,Suppressed,Suppressed,Suppressed,Suppressed,55
46126,207,6567,2358,1267,4609
46127,Suppressed,471,162,94,287
46128,108,2504,937,443,1798
46130,103,3480,1239,678,2485
46131,1125,51586,18213,9710,31210
46133,27,935,334,187,782
46135,1112,25991,9427,4877,19584
46140,1652,71408,24675,13965,37973
